time_utc,CallSign,ShipName,Type,ImoNumber,MMSI,latitude,longitude,Destination,FixType,Dimension A,Dimension B,Dimension C,Dimension D,MaximumStaticDraught,MessageID
2023-12-09 08:15:37.287495434 +0000 UTC,ZDRC6,SEASTAR VENTURE,70,9612155,236723000,31.820921666666667,34.642541666666666,ILASH,1,149,28,20,8,5.8,5
2023-12-09 08:15:43.56455238 +0000 UTC,TCA3829,KIYEM 5,51,0,271044343,36.62475166666666,29.103701666666666,FETHIYE,1,11,12,3,3,2.2,5
2023-12-09 08:15:55.586647411 +0000 UTC,YJTK3,DEMAREST TIDE,90,9608740,577171000,34.655181666666664,33.01939166666667,LIMASSOL,1,24,64,9,10,5,5
2023-12-09 08:16:00.293606186 +0000 UTC,4XDA9,HADERA,52,9891725,428000407,32.47270833333333,34.883228333333335,HADERA PORT,1,8,23,8,8,4.8,5
2023-12-09 08:16:04.379924137 +0000 UTC,5VIC8,SYMPHONY,70,7810222,671290100,31.821846666666666,34.63664333333334,IL ASH,1,0,0,0,0,6.7,5
2023-12-09 08:16:07.876507562 +0000 UTC,T8A4046,VASSILIKO,70,8914130,511100835,31.828500000000002,34.64545,ASHDOD ISRAEL,15,110,17,14,2,7.9,5
2023-12-09 08:16:11.713391559 +0000 UTC,V7NL5,NOR NAOMI,92,9689251,538007432,34.648395,33.01609333333333,LIMASSOL,1,19,67,4,16,5.6,5
2023-12-09 08:16:19.748797024 +0000 UTC,3E2292,MEDKON CANAKKALE,79,9341964,352002364,31.82261833333333,34.64233,ILASH,1,117,12,11,10,6.5,5
2023-12-09 08:16:55.309968128 +0000 UTC,4XFY,KESARIA,52,9667916,428045000,32.47272666666667,34.88288,HADERA PORT,1,10,22,3,9,4.2,5
2023-12-09 08:17:02.851526703 +0000 UTC,T8A3659,BAR DIVE 1,0,9258181,511100504,34.645305,33.010380000000005,LIMASSOL CYPRUS,1,9,13,5,2,2.5,5
2023-12-09 08:17:03.881324928 +0000 UTC,TJM4G3,CORAL C,70,8911413,613226010,31.825566666666667,34.644506666666665,IL ASH,15,0,0,0,0,4,5
2023-12-09 08:17:07.556239163 +0000 UTC,5BRC4,P&O TROODOS,52,9338175,212872000,34.65095833333333,33.022823333333335,LIMASOL,1,14,16,6,5,4,5
2023-12-09 08:17:08.849457351 +0000 UTC,ZGQN,SUN,90,9232694,319234300,34.64741166666667,33.02327666666667,LIMASSOL,1,24,74,4,14,4.2,5
2023-12-09 08:17:16.460440305 +0000 UTC,P3MJ8,SKY,59,9130755,212858000,34.646116666666664,33.00789833333333,CY LMS,1,16,74,11,11,4.1,5
2023-12-09 08:17:18.97054583 +0000 UTC,CRXN,EDT AUGUSTA,52,9448190,255977000,34.645305,33.00971166666667,CYLMS,1,0,0,0,0,5,5
2023-12-09 08:17:30.674269774 +0000 UTC,9HA5678,LE VERSEAU,37,8356833,256060000,34.665396666666666,33.04197666666667,LIMASSOL,15,20,20,5,5,2.6,5
2023-12-09 08:17:35.234409418 +0000 UTC,4XFW,DANCHOR VI,52,9530383,428068000,31.824205,34.645181666666666,ASHDOD PORT,15,16,16,6,6,5,5
2023-12-09 08:17:51.297964039 +0000 UTC,IBRV,SEMINOLE,90,7645550,247274900,34.66983333333334,33.0584,CYLMS,1,28,107,15,15,4.5,5
2023-12-09 08:18:04.893090538 +0000 UTC,XCAN5,ADMIRAL,31,9421582,345050010,34.673588333333335,33.06623,,1,8,30,6,4,0,5
2023-12-09 08:18:06.39768519 +0000 UTC,5BFB3,EDT LEON,91,9575400,209343000,34.64509833333333,33.00902,LIMASSOL,0,18,32,5,5,2.4,5
2023-12-09 08:18:08.898267403 +0000 UTC,GDSA,NAVAL AUXILIARY A135,34,7822550,233303000,34.65244666666667,33.016775,,1,21,154,24,6,0,5
2023-12-09 08:18:12.590400113 +0000 UTC,PILOTB2,PILOT B 2,50,0,428009070,31.830741666666665,34.64165166666667,ASHDOD,1,12,4,2,3,2,5
2023-12-09 08:18:12.865432228 +0000 UTC,TBA3609,SEA STAR LINDOS,60,8911360,511100460,36.62298333333333,29.105050000000002,RH0DES,1,30,8,5,4,1.6,5
2023-12-09 08:18:15.568724683 +0000 UTC,3E5051,BEOL,37,1010375,352002749,34.64582,33.00762,LIMASSOL,1,29,31,6,4,3.5,5
2023-12-09 08:18:15.814974077 +0000 UTC,V7JU2,MILA,70,9316220,538002973,31.826583333333335,34.6417,IL ASH,1,162,28,20,12,12.9,5
2023-12-09 08:18:23.565861075 +0000 UTC,5BKE4,OLVIA,80,9523469,212717000,31.845653333333335,34.61761166666667,ASHDOD,15,73,27,15,3,6.6,5
2023-12-09 08:18:23.764327876 +0000 UTC,9HA5679,EXINITY,37,0,256081000,34.66538666666667,33.041745,LIMASSOL MARINA,15,10,30,6,3,2.1,5
2023-12-09 08:18:25.451205891 +0000 UTC,9HA4821,SEVANNA,37,0,248823000,34.66523666666667,33.041335,LIMASSOL CYPRUS,1,26,16,2,6,2.5,5
2023-12-09 08:18:30.195207256 +0000 UTC,9LU2251,DEBBIE,70,9128415,667001448,31.828626666666665,34.6419,IL ASH,1,90,17,7,9,7.8,5
2023-12-09 08:18:33.712238131 +0000 UTC,5LKX6,ATLAS STAR,89,9376828,636022888,31.847876666666664,34.581583333333334,ALEXANDRIA FOR ORDER,1,156,27,21,6,7.5,5
2023-12-09 08:18:36.966507034 +0000 UTC,P3ES7,EDT ARGONAUT,52,7810131,212230000,34.645005,33.00991,LIMASSOL,1,9,33,6,3,3.7,5
2023-12-09 08:18:53.240189342 +0000 UTC,5LFF6,KRITI CAPTAIN,80,9335147,636021691,34.6877,33.34748666666667,CY VAS FOR ORDER,1,150,34,12,15,10.2,5
2023-12-09 08:19:07.391764358 +0000 UTC,D5TK5,CHEM LITHIUM,80,9815252,636019201,27.490166666666667,34.952999999999996,FOR ORDERS,1,130,17,12,12,7.9,5
2023-12-09 08:19:08.538133772 +0000 UTC,V7A4317,ENERGEAN STAR,70,9677935,538009102,34.67131833333334,33.076393333333336,LIMASSOL,1,14,74,9,10,5.3,5
2023-12-09 08:19:14.850723555 +0000 UTC,5BHA4,LEDRA PRIDE,52,8028503,210588000,34.64508,33.01779166666667,CYLIM,1,10,32,3,7,5.5,5
2023-12-09 08:19:23.200473114 +0000 UTC,ZGQA5,VICTORIOUS,90,1009912,319222400,36.644798333333334,29.109438333333333,FETHIYE,1,40,45,7,7,4.4,5
2023-12-09 08:19:26.529247243 +0000 UTC,A8YK4,IVORY RAY,80,9505986,636015074,23.898333333333333,37.42666666666666,FOR ORDERS,1,136,10,24,0,0,5
2023-12-09 08:19:27.76414799 +0000 UTC,J5AG2,SEA STAR TILOS,68,8921913,630001049,36.622618333333335,29.10518666666667,CESME-FETHIYE,15,25,10,6,6,2.5,5
2023-12-09 08:19:39.485741963 +0000 UTC,5BWL3,EDT YAM,33,8120583,212212000,31.827538333333333,34.64456833333334,ASHDOD / IL,1,60,16,8,7,3.2,5
2023-12-09 08:19:44.66888161 +0000 UTC,PCPS,CONQUEST MB1,90,0,244810178,34.64508333333333,33.014266666666664,LIMASSOL,1,12,124,13,23,4.1,5
2023-12-09 08:19:47.265489256 +0000 UTC,9HGO7,MV SEAVENUS,70,9205940,215209000,31.820443333333333,34.573395,ASHDOD,15,163,27,18,14,11.7,5
2023-12-09 08:19:53.753545685 +0000 UTC,3FGK4,REGINA MED,70,8100777,353822000,31.82907,34.643865,ILASH,1,80,20,10,7,7,5
2023-12-09 08:19:58.196919215 +0000 UTC,4XFR,MAORA 1,52,9132583,428000112,32.4726,34.88375,HADERA PORT,1,11,22,8,3,4.3,5
2023-12-09 08:20:10.356978181 +0000 UTC,CQIZ3,MSC MASHA 3,71,9188219,255806109,34.64763666666667,33.01325166666667,LIMASSOL,1,151,33,23,7,9.7,5
2023-12-09 08:20:14.917756284 +0000 UTC,P3ZM4,EAS,52,7403146,209005000,34.64499,33.008876666666666,CYPRUS.OFFSHORE,6,12,50,6,7,5,5
2023-12-09 08:20:28.613174821 +0000 UTC,V2YD4,IRIS,40,9103776,305384000,36.622364999999995,29.105268333333335,RODOS,1,14,10,4,4,0,5
2023-12-09 08:20:39.111986119 +0000 UTC,CRXR,EDT AURORA,52,9577238,255979000,34.64521166666667,33.00915166666667,CY LMS,1,13,19,6,6,5,5
2023-12-09 08:20:41.820315143 +0000 UTC,LFXV,ISLAND VICTORY,52,9745615,257073920,34.64626333333333,33.021856666666665,LIMASSOL,1,44,80,11,14,8.1,5
2023-12-09 08:20:42.321857214 +0000 UTC,3FUD,KAZIME ANA,79,8420359,371343000,31.822349999999997,34.6365,ILASH,1,15,100,8,8,7.4,5
2023-12-09 08:20:45.735281663 +0000 UTC,DRAD,UN WARSHIP F222,35,0,211920000,34.65193333333333,33.02256666666667,-,6,54,96,9,10,6.2,5
2023-12-09 08:20:47.031514079 +0000 UTC,J8B3389,ZAYYAN K,70,7394321,375369000,31.827853333333334,34.646865000000005,ASHDOD (IL),1,63,18,6,9,7.1,5
2023-12-09 08:20:51.080426955 +0000 UTC,,ASHDOD PORT,0,0,4282000,31.83110333333333,34.640051666666665,,1,191,45,22,10,0,5
2023-12-09 08:21:06.471501939 +0000 UTC,T8A3527,BENIGANE,70,9455600,511100389,31.826901666666668,34.645985,IL/ASH,15,118,12,7,13,9,5
2023-12-09 08:21:08.475124336 +0000 UTC,V3OJ,HOLMA,33,7333327,312349000,34.64523,33.01007,HERZLIYA MARINA,1,29,11,3,6,3,5
2023-12-09 08:21:23.301598961 +0000 UTC,2FFX6,LERRIX,80,9599377,235090927,31.827271666666665,34.64763666666667,ASHDOD,1,43,10,6,4,3,5
2023-12-09 08:21:28.880849187 +0000 UTC,6BBI,EGY CROWN,79,9216107,622113180,34.667055,33.078205,CYLMS ANCHORAGE AREA,0,120,20,20,30,9.5,5
2023-12-09 08:21:29.374129817 +0000 UTC,P3WS9,ISLAND CHALLENGER,80,8711863,210595000,34.64747833333333,33.01329833333333,CY LIM,1,54,23,4,10,4.2,5
2023-12-09 08:21:36.393090539 +0000 UTC,ZDRC6,SEASTAR VENTURE,70,9612155,236723000,31.820896666666666,34.64253833333333,ILASH,1,149,28,20,8,5.8,5
2023-12-09 08:21:42.195243925 +0000 UTC,TCA3829,KIYEM 5,51,0,271044343,36.62477333333333,29.1037,FETHIYE,1,11,12,3,3,2.2,5
